AddLiteral;;20469;50000;0;0;0;0;0;
AddMultipleLiterals;;21051;50000;0;0;0;0;0;
AddLiteralSingleline;;20357;50000;0;0;0;0;0;
MultiplyLiteral;;20962;50000;0;0;0;0;0;
MultiplyFloatLiteral;;21043;50000;0;0;0;0;0;
MultiplyFloatMultiLiteral;;20479;50000;0;0;0;0;0;
DivideFloatLiteral;;21608;50000;0;0;0;0;0;
DivideIntByFloatLiteral;;37826;50000;0;0;0;0;0;
DivideLiteral;;22288;50000;0;0;0;0;0;
AddStatic;;46688;50000;0;0;0;0;0;
AddInstance;;20966;50000;0;0;0;0;0;
AddStaticProperty;;195350;50000;0;0;0;0;0;
AddInstanceProperty;;282593;50000;0;0;0;0;0;
AddStaticMethod;;198661;50000;0;0;0;0;0;
AddInstanceMethod;;283745;50000;0;0;0;0;0;
AddCallable;;213892;50000;0;0;0;0;0;
AddLocal;;20656;50000;0;0;0;0;0;
AddLocal_Vector2i;;26947;50000;0;0;0;0;0;
AddLocal_Vector2f;;25171;50000;0;0;0;0;0;
AddLocal_Vector3i;;23325;50000;0;0;0;0;0;
AddLocal_Vector3f;;28079;50000;0;0;0;0;0;
MultiplyLocal_Vector4f;;24195;50000;0;0;0;0;0;
SqrtLocal;;32327;50000;0;0;0;0;0;
PowLocal;0.0001;53426;50000;0;0;0;0;0;
PowLocal;0.5;69860;50000;0;0;0;0;0;
PowLocal;2.0;41883;50000;0;0;0;0;0;
PowLocal;2.71828;39399;50000;0;0;0;0;0;
PowLocal;3.14159265358979;38305;50000;0;0;0;0;0;
PowLocal;1.4142135623731;48356;50000;0;0;0;0;0;
PowLocal;9999.9999;34468;50000;0;0;0;0;0;
PowLocal;inf;33638;50000;0;0;0;0;0;
PowLocal;nan;34174;50000;0;0;0;0;0;
SinLocal;;34468;50000;0;0;0;0;0;
TanLocal;;39516;50000;0;0;0;0;0;
ATanLocal;;43274;50000;0;0;0;0;0;
ATan2Local;;71179;50000;0;0;0;0;0;
FmodLocal;;32833;50000;0;0;0;0;0;
DoNothing;;7105;50000;0;0;0;0;0;
DoNothingLiteralString;;7336;50000;0;0;0;0;0;
DoNothingLiteralStringSums;;7230;50000;0;0;0;0;0;
DoNothingLiteralIntSums;;7662;50000;0;0;0;0;0;
DoNothingProperty;;282712;50000;0;0;0;0;0;
DoNothingIndexArray;;18301;50000;0;0;0;0;0;
DoNothingIndexDict;;45253;50000;0;0;0;0;0;
DoNothingAssign;;13840;50000;0;0;0;0;0;
DoNothingAssignDyn;;14055;50000;0;0;0;0;0;
DoNothingBig;;13878;50000;0;0;0;0;0;
FactorialLoop;;18982;50000;0;0;0;0;0;
FactorialRecursive;;135609;50000;0;0;0;0;0;
ForeachRange;;121309;50000;0;0;0;0;0;
ForeachArrayDyn;;288357;50000;0;0;0;0;0;
ForeachArray;;185911;50000;0;0;0;0;0;
ForeachArrayTyped;;169251;50000;0;0;0;0;0;
ForeachArrayPacked64;;134562;50000;0;0;0;0;0;
ForeachArrayPacked32;;128673;50000;0;0;0;0;0;
ForeachDictTyped;;284813;50000;0;0;0;0;0;
ForeachDict;;324975;50000;0;0;0;0;0;
ForeachDictDyn;;390855;50000;0;0;0;0;0;
ForeachRangeExplicit;;250923;50000;100001;413600064;100001;413600064;0;
ForeachRangeExplicitDyn;;353880;50000;100000;413600000;100000;413600000;0;
ForeachRangeConditioned;;297162;50000;100000;413600000;100000;413600000;0;
ForeachRangeVar1;;237420;50000;100000;413600000;100000;413600000;0;
ForeachRangeVar2;;243232;50000;100000;413600000;100000;413600000;0;
ForeachRangeVar3;;238536;50000;100000;413600000;100000;413600000;0;
ForeachRangeConditionedArg;;232581;50000;100000;413600000;100000;413600000;0;
ForeachRangeFuncDyn;;385574;50000;100000;413600000;100000;413600000;0;
ForeachRangeNumberConditioned;;119591;50000;0;0;0;0;0;
ForeachRange3;;121610;50000;0;0;0;0;0;
ForeachNumber;;117142;50000;0;0;0;0;0;
ForeachNumberExplicit;;120214;50000;0;0;0;0;0;
ForeachNumberExplicitDyn;;270642;50000;0;0;0;0;0;
ForeachVector2i;;119701;50000;0;0;0;0;0;
ForeachManual;;236544;50000;0;0;0;0;0;
ForeachFloatManual;;250016;50000;0;0;0;0;0;
ForeachFloatNumber;;123657;50000;0;0;0;0;0;
ForeachFloatNumberExplicit;;126538;50000;0;0;0;0;0;
ForeachFloatNumberDyn;;262555;50000;0;0;0;0;0;
ForeachFloatVector2f;;122956;50000;0;0;0;0;0;
ForeachFloatRange;;151658;50000;0;0;0;0;0;
CallInstanceTyped;;292736;50000;0;0;0;0;0;
CallInstanceDyn;;268486;50000;0;0;0;0;0;
CallInstanceCallable;;250160;50000;0;0;0;0;0;
CallInstanceCall;;452781;50000;0;0;0;0;0;
CallInstanceCallConditional;;745895;50000;0;0;0;0;0;
CallStaticTyped;;186439;50000;0;0;0;0;0;
CallStaticDyn;;182685;50000;0;0;0;0;0;
CallStaticCallable;;175249;50000;0;0;0;0;0;
CallStaticCall;;181554;50000;0;0;0;0;0;
CallStaticNative;;24810;50000;0;0;0;0;0;
CallInstanceNative;;37352;50000;0;0;0;0;0;
CallStaticNativeCallable;;212647;50000;0;0;0;0;0;
CallInstanceNativeCallable;;214725;50000;0;0;0;0;0;
CallStaticNativeCall;;416839;50000;0;0;0;0;0;
CallInstanceNativeCall;;410913;50000;0;0;0;0;0;
CallInstanceNativeCallConditional;;810511;50000;0;0;0;0;0;
CallInstanceManyArgsDyn;;379470;50000;0;0;0;0;0;
